Open time,Open,High,Low,Close,Volume,Close time,Base asset volume,Number of trades,Taker buy volume,Taker buy base asset volume,Ignore,ha_signal,ema_200_signal,stoch_signal
2018-09-30 17:30:00,6617.84,6626.54,6609.7,6626.53,142.829139,2018-09-30 17:44:59.999,945265.26133419,1287,92.037019,609191.23681618,0,0.0,1.0,-1.0
2018-09-30 17:45:00,6623.28,6628.0,6618.97,6619.7,255.254778,2018-09-30 17:59:59.999,1689954.99640677,952,104.58534,692493.27683434,0,0.0,1.0,-1.0
2018-09-30 18:00:00,6621.2,6635.29,6619.7,6631.02,305.827376,2018-09-30 18:14:59.999,2026586.26364006,1298,103.073794,683075.30775199,0,0.0,1.0,-1.0
2018-09-30 18:15:00,6632.0,6640.32,6625.0,6633.06,635.327031,2018-09-30 18:29:59.999,4215607.03857586,1479,421.008489,2793736.39946213,0,0.0,1.0,-1.0
2018-09-30 18:30:00,6631.95,6633.06,6621.07,6623.35,314.562853,2018-09-30 18:44:59.999,2084111.33872063,1137,197.612968,1309364.07391563,0,0.0,1.0,-1.0
2018-09-30 18:45:00,6623.37,6627.95,6621.5,6624.03,203.176223,2018-09-30 18:59:59.999,1345740.73374998,1253,106.361219,704536.31629551,0,0.0,1.0,-1.0
2018-09-30 19:00:00,6624.07,6635.18,6623.4,6631.26,162.763647,2018-09-30 19:14:59.999,1079159.12838277,1214,88.368156,585959.32433247,0,0.0,1.0,-1.0
2018-09-30 19:15:00,6629.1,6631.27,6622.8,6624.97,346.932947,2018-09-30 19:29:59.999,2298618.72638711,1139,260.053758,1722927.97354966,0,0.0,1.0,-1.0
2018-09-30 19:30:00,6624.98,6624.99,6600.0,6611.82,511.916362,2018-09-30 19:44:59.999,3386064.14143596,1997,324.607869,2147360.47711716,0,-1.0,1.0,-1.0
2018-09-30 19:45:00,6611.82,6620.82,6603.54,6603.95,188.463487,2018-09-30 19:59:59.999,1246492.67326933,1410,123.370558,815979.97268422,0,0.0,1.0,-1.0
2018-09-30 20:00:00,6604.01,6609.75,6562.06,6585.0,492.272623,2018-09-30 20:14:59.999,3240066.4484237,3705,169.622617,1116435.52188041,0,0.0,-1.0,-1.0
2018-09-30 20:15:00,6585.0,6585.0,6537.5,6537.52,734.989934,2018-09-30 20:29:59.999,4826410.08532228,4809,209.578221,1376940.04004428,0,-1.0,-1.0,-1.0
